SourceID,SourceName
303,Worldwide Brochures
304,Times
305,Times - Sunday
306,Spectator
307,Telegraph
308,Elle
311,Tatler
312,Observer
313,Guardian
314,Trailfinder
316,Referral - S Paine
317,Guide - Cadogan
318,Wanderlust
319,Country Life
321,Referral Cox & Kings
322,GQ
323,Horse & Hound
324,Vogue
325,agent
326,Financial Times
327,Sunday Express
328,ABC Holiday Guide
329,Breakaway
330,Mail
331,Mail - Sunday
332,Tate
334,Newsletter
335,House and Garden
336,For Him
337,Independent
338,Good Housekeeping
339,Home & Garden
340,RA Magazine
341,Evening Standard
342,Trailwalker
343,153  Club
346,BBC2 Interview
347,Marie Claire
348,BBC Holiday
349,Embroidery Handbook
350,Manchester Ev News
351,WYWH
352,Express Daily
353,You Magazine
354,Wall Street Journal
355,Telegraph - Sunday
356,Brides
357,Guide - LP
358,Internet
359,Opera Now
360,International Living
361,Evening Advertiser
362,Travel Trade Gazette
363,Country Living
364,Tatler Travel Guide
365,holidaywizard
366,BGB
367,The Lady
369,referral - AOT
370,BBC Holiday Memories
371,The Week
372,Guide - Odyssey
373,Guide L Nicholson
374,Trail Magazine
375,Guide - Trans Sib
376,BBC Music Magazine
377,Conde Nast Traveller
378,Swindon Evening Ad
379,Travel Weekly
380,Living South
381,Times - Saturday
383,Imaginative Traveler
384,World of Interiors
385,Telegraph Laos 14/2
386,Music Magazine
388,Guide - Rough
389,Forbes
390,Men's Health Magazin
391,referral - A&K
392,Mens Health
393,H Y Travel
395,Traveller Magazine
396,Firebird
397,Referral - M Jacoby
398,Food & Travel
399,Wildlife Agency - OF
401,Times
402,Sunday Times
403,Telegraph
404,Boardroom
405,Tatler
406,Guardian
407,referal
408,Cadogan Guide
409,Country Life
410,Cox & Kings
411,Horse & Hound
412,agent
413,Sunday Express
414,Breakaway
415,Sunday Mail
416,Arte News
417,House and Garden
418,Independent
419,Home & Garden
420,Evening Standard
421,153 Club
422,Tourist Board
423,Marie Claire
424,Embroidery Handbook
425,Wish you were here
426,You Magazine
427,Sunday Telegraph
428,Lonely Planet Guides
429,Opera Now
430,Evening Advertiser
431,Country Living
432,Trail Magazine
433,The Lady
434,Art of Travel client
435,The Week
436,L Nicholson guide
437,Trans Sib Handbook
438,Conde Nast Traveller
439,Travel Weekly
440,Saturday Times
441,Imaginative Traveler
442,Telegraph Laos 14/2
443,Breakaway
444,Forbes
445,abercrombie and kent
446,H Y Travel
447,Traveller Magazine
448,Martin Jacoby
449,Food & Travel
450,Email
451, 
452,Steppes East
453,Hunting Magazine
454,Spectator
455,Elle
456,Harpers
457,Observer
458,Trailfinder
459,Sheila Paine
460,Wanderlust
461,Embroidery
462,GQ
463,Vogue
464,Financial Times
465,ABC Holiday Guide
466,Daily Mail
467,Tate
468,Newsletter
469,For Him
470,Good Housekeeping
471,RA Magazine
472,Trailwalker
473,N/A
474,BBC2 Interview
475,BBC Holiday
476,Manchester Ev News
477,Daily Express
478,Wall Street Journal
479,Brides
480,Internet
481,International Living
482,Travel Trade Gazette
483,Tatler Travel Guide
484,BGB
485,Bhutan Society
486,BBC Holiday Memories
487,Odyssey Guide
488,Trail Magazine
489,BBC Music Magazine
490,Swindon Evening Ad
491,Living South
492,Saturday Telegraph
493,World of Interiors
494,Music Magazine
495,Rough Guides
496,Men's Health Magazin
497,Mens Health
498,SundayTimes-29 Mar98
499,Firebird
1005,Internet
1010,Journalist
1011,Referral - Katya
1012,Geographical
1016,Here's Health Mag
1017,Referral
1018,Endangered WT SA
1020,Lecture
1021,Wildlife Agency -GTP
1022,Sunday Times
1025,GCT Galapogos
1026,Orangutan Foundation
1027,Saturday Times
1030,EWT SA
1031,Harvey Nicholls mag
1032,Sunday Telegraph
1036,Guide - Blue
1037,Referral
1040, 
1041,Popular Painting
1042,Internet
1046,
1047,Saturday Telegraph
1052,Guardian
1061,Uzbek Travel Guide
1062,You and Your Wedding
1066,Guardian
1067,Observer
1071,Observer
1072,Financial Times
1076,Which
1081,Socrates
1082,Game Fair
1086,Royal Jordanian
1091,BBC Wildlife
1092,Yellow Pages
1097,Game Fair 
1101,Richmond Informer
1102,Escape Routes
1106,Sainsburys Magazine
1107,Newsletter
1111,Desteo
1112,Neptune Classics
1116,Flyer - Trunk
1117,BA Magazine
1121,Flyer - Trunk
1122,Sue Lewis client
1126,ES Magazine
1127,Game Fair
1131,Classic FM Magazine
1132,China 2000
1136,Wild Dog Adventure
1137,Parrott Club
1141,Natural world
1142,Financial Times
1151,Wanderlust
1156,Western Daily Press
1157,Harpers and Queen
1161,Embroiders Guild
1166,Tourist Board
1167,Bride & Groom
1171,Independent
1172,Referall-S Bullough
1176,National Geo
1177,Yellow Pages
1181,Natural World
1182,Travel Africa
1187,Sunday Times
1191,Welcome to China
1192,Guide - OAG
1196,Rainforest Review
1207,WWF
1212,Countryside alliance
1217,Harpers and Queen
1222,ATOL Directory
1227,Good Honeymoon guide
1237,Guide - Footprints
1242,Radio 4
1247,Saturday Times
1252,Guide - SA Handbook
1257,Stitch Magazine
1262,Embroidery Magazine
1267,Specialty Travel
1272,Travel and Leisure
1277,
1282,Flyer Magazine
1287,Pilot Magazine
1292,Privit air magazine
1302,Slide show
1307,Stitches Magazine
1317,Wedding Magazine
1322,Magazine
1327,BBC Galapagos
1332,BBC Galapagos
1337,Embroidery Magazine
1342,Bliss for Brides
1347,Telegraph
1352,Quintessentially
1357,Feltmakers
1367,Tourist board
1377,Honeymoon & Romantic
1382,Past client
1387,Oxford Travel Club
1392,Limited Edition
1397,SW Business Times
1402,NADFAS
1417,
1432,Message-Link
1437,Quintissentially.com
1442,Country Life
1447,LATA Magazine
1452,LATA website
1462,Wanderlust
1467,For the Bride
1472,Tatler
1477,Bird Watch Magazine
1482,Birds (RSPB)
1487,Layter Magazine
1497,Wedding Day
1502,For the Bride
1505,Caribbean Connection
1507,Brides
1512,Travel Agent
1517,Bridal Magazine
1527,Sunday Business
1532,Telegraph
1537,Br Tourist Office
1542,Guide - Bradt
1547,Falkland Island TO
1562,Hello
1567,Hello
1572,British Bird Fair
1577,Mag - Cosmopolitan
1582,Quintessentially
1587,Referral -  M Lovell
1592,
1597,WWF insert Oct
1602,Outdoor Photography
1607,Evening Standard
1612,Outdoor Photography
